doc_topic_prior,max_df,max_tf,min_df,min_tf,n_topics,topic_word_prior,score
166,0.14285714285714285,0.95,561.0,2,10,7,0.14285714285714285,0.2150250515425603
167,0.14285714285714285,0.95,561.0,2,10,7,0.5,0.39727205438823604
168,0.14285714285714285,0.95,561.0,2,30,7,0.014285714285714285,0.2811662520437295
169,0.14285714285714285,0.95,561.0,2,30,7,0.14285714285714285,0.26527386657250296
170,0.14285714285714285,0.95,561.0,2,30,7,0.5,0.34143784305586233
171,0.14285714285714285,0.95,561.0,5,2,7,0.014285714285714285,0.15758311843473063
172,0.14285714285714285,0.95,561.0,5,2,7,0.14285714285714285,0.3372608374824036
173,0.14285714285714285,0.95,561.0,5,2,7,0.5,0.26690930489891734
174,0.14285714285714285,0.95,561.0,5,10,7,0.014285714285714285,0.3531877044218152
175,0.14285714285714285,0.95,561.0,5,10,7,0.14285714285714285,0.3102613972604163
176,0.14285714285714285,0.95,561.0,5,10,7,0.5,0.34216620408754195
177,0.14285714285714285,0.95,561.0,5,30,7,0.014285714285714285,0.2525761374098399
178,0.14285714285714285,0.95,561.0,5,30,7,0.14285714285714285,0.21300906652906385
179,0.14285714285714285,0.95,561.0,5,30,7,0.5,0.30006868626789773
180,0.14285714285714285,0.95,561.0,10,2,7,0.014285714285714285,0.2791486807368378
181,0.14285714285714285,0.95,561.0,10,2,7,0.14285714285714285,0.2729269363219622
182,0.14285714285714285,0.95,561.0,10,2,7,0.5,0.36549279180448874
183,0.14285714285714285,0.95,561.0,10,10,7,0.014285714285714285,0.2796412189823208
184,0.14285714285714285,0.95,561.0,10,10,7,0.14285714285714285,0.2540938926058455
185,0.14285714285714285,0.95,561.0,10,10,7,0.5,0.3362819435054641
186,0.14285714285714285,0.95,561.0,10,30,7,0.014285714285714285,0.3083817294854483
187,0.14285714285714285,0.95,561.0,10,30,7,0.14285714285714285,0.225705852010747
188,0.14285714285714285,0.95,561.0,10,30,7,0.5,0.3498571410717681
189,0.14285714285714285,0.95,400.0,2,2,7,0.014285714285714285,0.13639239831929637
190,0.14285714285714285,0.95,400.0,2,2,7,0.14285714285714285,0.1403553580498721
191,0.14285714285714285,0.95,400.0,2,2,7,0.5,0.21100754275020778
192,0.14285714285714285,0.95,400.0,2,10,7,0.014285714285714285,0.22737671147371855
193,0.14285714285714285,0.95,400.0,2,10,7,0.14285714285714285,0.25875569032878704
194,0.14285714285714285,0.95,400.0,2,10,7,0.5,0.33071688515229414
195,0.14285714285714285,0.95,400.0,2,30,7,0.014285714285714285,0.2696313557839959
196,0.14285714285714285,0.95,400.0,2,30,7,0.14285714285714285,0.2695537375959533
197,0.14285714285714285,0.95,400.0,2,30,7,0.5,0.3165655844130678
198,0.14285714285714285,0.95,400.0,5,2,7,0.014285714285714285,0.21111613389825526
199,0.14285714285714285,0.95,400.0,5,2,7,0.14285714285714285,0.3868613362273581
200,0.14285714285714285,0.95,400.0,5,2,7,0.5,0.3051848523385945
201,0.14285714285714285,0.95,400.0,5,10,7,0.014285714285714285,0.24829308956562904
202,0.14285714285714285,0.95,400.0,5,10,7,0.14285714285714285,0.30787911766067316
203,0.14285714285714285,0.95,400.0,5,10,7,0.5,0.3206246127583473
204,0.14285714285714285,0.95,400.0,5,30,7,0.014285714285714285,0.25900489053867626
205,0.14285714285714285,0.95,400.0,5,30,7,0.14285714285714285,0.22099472340233858
206,0.14285714285714285,0.95,400.0,5,30,7,0.5,0.33753103627291037
207,0.14285714285714285,0.95,400.0,10,2,7,0.014285714285714285,0.1629869431775177
208,0.14285714285714285,0.95,400.0,10,2,7,0.14285714285714285,0.2775569173095168
209,0.14285714285714285,0.95,400.0,10,2,7,0.5,0.2636623447975292
210,0.14285714285714285,0.95,400.0,10,10,7,0.014285714285714285,0.2362360019248542
211,0.14285714285714285,0.95,400.0,10,10,7,0.14285714285714285,0.27416255199702133
212,0.14285714285714285,0.95,400.0,10,10,7,0.5,0.3083940917357432
213,0.14285714285714285,0.95,400.0,10,30,7,0.014285714285714285,0.33374200152359523
214,0.14285714285714285,0.95,400.0,10,30,7,0.14285714285714285,0.28693875965871396
215,0.14285714285714285,0.95,400.0,10,30,7,0.5,0.4483239373175525
